roomwalls,0,0
leftDoorWall,0,288
topDoorWall,488,0
rightDoorNormal,896,288,,,8
bottomDoorWall,488,576
solid black tile,128,128
solid black tile,192,128
solid black tile,256,128
solid black tile,320,128
solid black tile,384,128
solid black tile,448,128
solid black tile,512,128
solid black tile,576,128
solid black tile,640,128
solid black tile,704,128
solid black tile,768,128
solid black tile,832,128
solid black tile,128,192
solid black tile,192,192
solid black tile,256,192
solid black tile,320,192
solid black tile,384,192
solid black tile,448,192,oldMan
solid black tile,512,192
solid black tile,576,192
solid black tile,640,192
solid black tile,704,192
solid black tile,768,192
solid black tile,832,192
solid black tile,128,256
solid black tile,192,256
solid black tile,256,256
solid black tile,320,256
LeftFire,320,256
solid black tile,384,256
solid black tile,448,256
solid black tile,512,256
solid black tile,576,256
solid black tile,640,256
RightFire,640,256
solid black tile,704,256
solid black tile,768,256
solid black tile,832,256
solid black tile,128,320
solid black tile,192,320
solid black tile,256,320
solid black tile,320,320
solid black tile,384,320
solid black tile,448,320
solid black tile,512,320
solid black tile,576,320
solid black tile,640,320
solid black tile,704,320
solid black tile,768,320
solid black tile,832,320
solid black tile,128,384
solid black tile,192,384
solid black tile,256,384
solid black tile,320,384
solid black tile,384,384
solid black tile,448,384,,key
solid black tile,512,384
solid black tile,576,384
solid black tile,640,384
solid black tile,704,384
solid black tile,768,384
solid black tile,832,384
solid black tile,128,448
solid black tile,192,448
solid black tile,256,448
solid black tile,320,448
solid black tile,384,448
solid black tile,448,448
solid black tile,512,448
solid black tile,576,448
solid black tile,640,448
solid black tile,704,448
solid black tile,768,448
solid black tile,832,448
solid black tile,128,512
solid black tile,192,512
solid black tile,256,512
solid black tile,320,512
solid black tile,384,512
solid black tile,448,512
solid black tile,512,512
solid black tile,576,512
solid black tile,640,512
solid black tile,704,512
solid black tile,768,512
solid black tile,832,512,,candle
textsprite,200,150
leftWallTop,0,128
leftWallBot,0,416
topWallLeft,128,0
topWallRight,576,0
rightWallTop,896,128
rightWallBottom,896,416
botWallLeft,128,576
botWallRight,576,576
