roomwalls,0,0,
leftDoorWall,0,288,
topDoorKey,488,0,
rightDoorNormal,896,288,
bottomDoorWall,488,576,
solid blue tile,128,128,
solid blue tile,192,128,
solid blue tile,256,128,
solid blue tile,320,128,
solid blue tile,384,128,
solid blue tile,448,128,
solid blue tile,512,128,
solid blue tile,576,128,
solid blue tile,640,128,bat
solid blue tile,704,128,
solid blue tile,768,128,
solid blue tile,832,128,
solid blue tile,128,192,
solid blue tile,192,192,bat
solid blue tile,256,192,
solid blue tile,320,192,
solid blue tile,384,192,
solid blue tile,448,192,
solid blue tile,512,192,
solid blue tile,576,192,
solid blue tile,640,192,
solid blue tile,704,192,
solid blue tile,768,192,
solid blue tile,832,192,
solid blue tile,128,256,
solid blue tile,192,256,
solid blue tile,256,256,
solid blue tile,320,256,
solid blue tile,384,256,
tile with square in middle,448,256,
tile with square in middle,512,256,
solid blue tile,576,256,
solid blue tile,640,256,
solid blue tile,704,256,
solid blue tile,768,256,
solid blue tile,832,256,
solid blue tile,128,320,bat
solid blue tile,192,320,
solid blue tile,256,320,
solid blue tile,320,320,
solid blue tile,384,320,
tile with square in middle,448,320,
tile with square in middle,512,320,
solid blue tile,576,320,
solid blue tile,640,320,
solid blue tile,704,320,
solid blue tile,768,320,
solid blue tile,832,320,
solid blue tile,128,384,
solid blue tile,192,384,
solid blue tile,256,384,
solid blue tile,320,384,bat
solid blue tile,384,384,
tile with square in middle,448,384,
tile with square in middle,512,384,
solid blue tile,576,384,
solid blue tile,640,384,
solid blue tile,704,384,
solid blue tile,768,384,
solid blue tile,832,384,
solid blue tile,128,448,
solid blue tile,192,448,bat
solid blue tile,256,448,
solid blue tile,320,448,
solid blue tile,384,448,
solid blue tile,448,448,
solid blue tile,512,448,
solid blue tile,576,448,
solid blue tile,640,448,
solid blue tile,704,448,
solid blue tile,768,448,
solid blue tile,832,448,
solid blue tile,128,512,
solid blue tile,192,512,
solid blue tile,256,512,
solid blue tile,320,512,
solid blue tile,384,512,
solid blue tile,448,512,
solid blue tile,512,512,
solid blue tile,576,512,
solid blue tile,640,512,bat
solid blue tile,704,512,
solid blue tile,768,512,
solid blue tile,832,512,
